PC1,PC2,label,cluster
5.908449364688396,-0.6284587400661465,0,5
0.7414463295599725,-0.005692516359514295,3,1
-2.045430244747043,-1.3768611207056742,9,7
-2.8347287905852134,0.4901923233801189,1,6
-0.34047648723559343,-0.11703133416348482,5,2
2.3546334180717827,3.4848613397334978,5,1
-0.754899658280479,1.5469533283450005,6,0
-1.3894590178952735,-1.26096741733763,4,4
3.408503538378858,0.5869658186632665,0,5
2.687425710122206,0.031392060701604774,2,9
-2.243937091721123,-0.1495899657082464,1,6
1.8188360548009057,0.17243992640043293,8,2
5.725679742960095,1.1854279501722642,0,5
0.38906468490126,1.302963959777281,6,0
-1.835684360959581,-2.4867056714240405,7,7
-3.7924211553093277,2.3035772621056476,1,3
-2.332067104150494,-1.6637823020709366,7,4
-0.5801011642111025,1.0026802517383742,3,1
-1.00538469967324,2.532850583193986,3,6
8.23172557420507,1.0591089875806572,0,5
2.51759625825242,0.48887337564855543,3,1
0.019519689717969246,3.3680963935469266,3,1
1.1024857566868111,1.79157190227872,5,1
2.674922114728084,-0.25532834762120177,2,9
4.522941433100213,1.398321890621187,0,5
-0.01706956515961311,-1.0515448294571434,9,2
0.7285983435185539,1.3340018893085148,3,2
3.9955436871111645,2.175049484339754,0,5
-3.266459182529839,-0.7958226434110884,7,6
-1.2371723935502255,-3.2018283370672447,4,7
1.3282824945014213,0.7310008878599619,0,1
-2.097821072560356,-1.4249489003438256,7,4
0.15446812668347265,2.336071850086847,8,2
2.401296960910924,-0.8173425830408598,8,4
-2.644062099431751,-1.119904436051016,7,4
2.6341900659965787,2.04571856654265,5,1
-2.3497675252788564,-1.1506547297978027,4,4
-3.5631392227963805,2.767143052711319,1,6
-2.9168632970055244,-0.18648445086085247,9,6
-1.3767837190624197,-2.361772418425002,7,7
2.164305562069542,-3.34770046921388,7,7
0.14664353687509024,-3.0049832870476822,9,8
0.9457728705596269,-1.0672178470827018,6,0
1.0351325985142075,-2.7520281406015323,4,8
-0.13789752462096017,-2.8054263948116973,7,7
0.9990497314999867,2.049016222544909,3,1
1.8347042000071059,0.9262368956761191,5,1
0.5245181497986193,-3.403458997087159,4,8
3.637050199212491,-2.1382776955293736,4,8
-2.958631701777682,2.6839217439424425,1,3
-1.5952893715989183,-0.5033671962007944,9,4
-1.8069325560526515,1.104576724457488,8,2
0.28305701318239596,0.7911533371844137,8,1
0.0533544842921696,4.806697784934641,2,1
-2.124757395362128,1.0268346142420623,8,3
-0.16419570395193217,-0.06646345977348697,4,3
1.2445528553503729,2.1161919147073593,2,9
1.97365802126617,-1.2074481976048366,0,5
-1.5679172919488733,1.6225231290206596,3,1
-2.6846071077468383,-1.9482859030684763,7,4
-2.1654439429343606,-2.889684346079585,7,7
-0.8540395604903157,-1.6821951384430465,7,4
-2.651425820834759,1.4775162314669161,8,6
0.7825450418326931,2.022125070613613,3,1
-0.805537941443438,-0.04672089722620601,8,4
-0.7121519886912018,1.6383347512451623,3,2
-0.7938948761404769,0.4602936705527348,0,2
2.8095695236225393,0.4671608732939336,8,2
0.3971031355483592,-3.190800907434806,4,4
-1.0748804762861708,0.9152006648780506,2,9
0.7168959440472413,0.7517014241392925,9,1
-0.8933222855547176,-1.4574178512530294,7,4
-1.782480799786204,1.4707217554430965,8,6
1.5599658917500636,-1.361643534971644,6,0
-0.41373225417799064,-3.6411245337856424,9,7
-0.22644219834737722,-1.0841633561407484,7,8
0.3997816256756628,-0.1734564500772599,6,0
-0.17175380882856928,-1.3316009100547397,9,8
-0.7987143912667136,-1.2665977147955847,8,7
-0.5375021477505366,0.10149758287402189,6,0
-0.28887276127063855,0.12062048124394126,2,9
-0.243676088075639,-0.6920601808573532,6,0
4.134774223459875,0.506368817803112,0,5
0.8533466846060467,1.2081838244340084,3,1
1.2389782614336586,0.20596776758228086,5,1
-2.087936374003564,0.5221416876207532,5,3
-1.7208455065219872,0.5111595275294019,5,3
4.61117688847383,1.2280706321121733,2,9
-3.0616163391442797,3.6077129096669633,1,3
-2.265886590045004,-2.464235425653462,7,7
-0.7677025478308814,0.5361625697975057,1,4
